"locality","gen_sp","freq","when"
"zamaduenas","Andrena_ferrugineicrus",2,"asensio"
"zamaduenas","Panurginus_albopilosus",2,"asensio"
"zamaduenas","Sphecodes_ruficrus",1,"asensio"
"zamaduenas","Lasioglossum_sexnotatum",1,"asensio"
"zamaduenas","Tetralonia_malvae",2,"asensio"
"zamaduenas","Ceratina_chalybea",1,"asensio"
"zamaduenas","Andrena_tenuistriata",1,"asensio"
"zamaduenas","Lasioglossum_subhirtum",1,"asensio"
"zamaduenas","Andrena_exigua",1,"asensio"
"zamaduenas","Andrena_obsoleta",1,"asensio"
"zamaduenas","Anthophora_senescens",2,"asensio"
"zamaduenas","Anthophora_atroalba",1,"asensio"
"zamaduenas","Andrena_obsoleta",1,"asensio"
"zamaduenas","Anthophora_fulvitarsis",1,"asensio"
"zamaduenas","Anthophora_atroalba",1,"asensio"
"zamaduenas","Andrena_lepida",1,"asensio"
"zamaduenas","Eucera_nigrilabris",3,"asensio"
"zamaduenas","Andrena_schencki",1,"asensio"
"zamaduenas","Ceratina_chalcites",2,"asensio"
"zamaduenas","Andrena_flavipes",1,"asensio"
"zamaduenas","Anthophora_retusa",1,"asensio"
"zamaduenas","Anthophora_sp b",1,"asensio"
"zamaduenas","Andrena_senecionis",1,"asensio"
"zamaduenas","Lasioglossum_interruptum",1,"asensio"
"zamaduenas","Andrena_flavipes",2,"asensio"
"zamaduenas","Andrena_spreta",3,"asensio"
"zamaduenas","Anthophora_senescens",1,"asensio"
"zamaduenas","Lasioglossum_xanthopum",1,"asensio"
"zamaduenas","Nomada_agrestis",5,"asensio"
"zamaduenas","Halictus_subauratus",1,"asensio"
"zamaduenas","Lasioglossum_leucozonium",2,"asensio"
"zamaduenas","Andrena_bicolorata",1,"asensio"
"zamaduenas","Anthophora_leucophaea",1,"asensio"
"zamaduenas","Melecta_punctata",1,"asensio"
"zamaduenas","Andrena_carbonaria",2,"asensio"
"zamaduenas","Nomada_fulvicornis",1,"asensio"
"zamaduenas","Lasioglossum_minutissimum",4,"asensio"
"zamaduenas","Lasioglossum_lucidulum",1,"asensio"
"zamaduenas","Anthophora_senescens",5,"asensio"
"zamaduenas","Andrena_rhyssonota",2,"asensio"
"zamaduenas","Anthophora_agama",3,"asensio"
"zamaduenas","Anthophora_leucophaea",8,"asensio"
"zamaduenas","Andrena_lepida",3,"asensio"
"zamaduenas","Anthophora_senescens",1,"asensio"
"zamaduenas","Lasioglossum_villosulum",1,"asensio"
"zamaduenas","Lasioglossum_sphecodimorphum",1,"asensio"
"zamaduenas","Andrena_verticalis",8,"asensio"
"zamaduenas","Andrena_ovatula",1,"asensio"
"zamaduenas","Lasioglossum_villosulum",5,"asensio"
"zamaduenas","Andrena_suerinensis",1,"asensio"
"zamaduenas","Anthophora_agama",3,"asensio"
"zamaduenas","Lasioglossum_minutissimum",2,"asensio"
"zamaduenas","Lasioglossum_limbellum",1,"asensio"
"zamaduenas","Lasioglossum_nitidiusculum",1,"asensio"
"zamaduenas","Andrena_carbonaria",3,"asensio"
"zamaduenas","Eucera_nigrilabris",1,"asensio"
"zamaduenas","Lasioglossum_malachurum",3,"asensio"
"zamaduenas","Andrena_humilis",1,"asensio"
"zamaduenas","Andrena_flavipes",1,"asensio"
"zamaduenas","Nomada_agrestis",1,"asensio"
"zamaduenas","Anthophora_agama",1,"asensio"
"zamaduenas","Lasioglossum_lucidulum",3,"asensio"
"zamaduenas","Lasioglossum_lucidulum",3,"asensio"
"zamaduenas","Eucera_cineraria",2,"asensio"
"zamaduenas","Ceratina_chalybea",2,"asensio"
"olmedo","Dufourea_gaullei ",1,"asensio"
"olmedo","Anthophora_fulvitarsis",1,"asensio"
"olmedo","Anthophora_crinipes",3,"asensio"
"olmedo","Anthophora_crinipes",2,"asensio"
"olmedo","Anthophora_acervorum",1,"asensio"
"olmedo","Melecta_punctata",2,"asensio"
"olmedo","Anthophora_crinipes",6,"asensio"
"olmedo","Eucera_cineraria",2,"asensio"
"olmedo","Anthophora_crinipes",4,"asensio"
"olmedo","Halictus_pollinosus",1,"asensio"
"olmedo","Halictus_subauratus",1,"asensio"
"olmedo","Coelioxys_afra",1,"asensio"
"olmedo","Andrena_ovatula",1,"asensio"
"olmedo","Panurgus_calcaratus",1,"asensio"
"olmedo","Andrena_ovatula",1,"asensio"
"olmedo","Osmia_dimidiata",1,"asensio"
"olmedo","Melecta_punctata",1,"asensio"
"olmedo","Chelostoma_florisomne",1,"asensio"
"olmedo","Megabombus_ruderatus",1,"asensio"
"olmedo","Megachile_centuncularis",5,"asensio"
"olmedo","Melecta_punctata",1,"asensio"
"olmedo","Andrena_ferrugineicrus",1,"asensio"
"olmedo","Bombus_terrestris",NA,"asensio"
"olmedo","Amegilla_quadrifasciata",1,"asensio"
"olmedo","Nomada_goodeniana",1,"asensio"
"olmedo","Osmia_cornuta",1,"asensio"
"olmedo","Dasypoda_hirtipes",1,"asensio"
"olmedo","Coelioxys_rufocaudata",2,"asensio"
"olmedo","Lasioglossum_griseolum",1,"asensio"
"olmedo","Lasioglossum_lucidulum",1,"asensio"
"olmedo","Lasioglossum_minutissimum",1,"asensio"
"olmedo","Dasypoda_hirtipes",7,"asensio"
"olmedo","Lasioglossum_limbellum",1,"asensio"
"olmedo","Megachile_versicolor",10,"asensio"
"olmedo","Lithurgus_cornutus",2,"asensio"
"olmedo","Dasypoda_hirtipes",1,"asensio"
"olmedo","Lithurgus_cornutus",1,"asensio"
"olmedo","Osmia_tricornis",1,"asensio"
"olmedo","Metallinella_brevicornis",1,"asensio"
"olmedo","Megachile_willughbiella",1,"asensio"
"olmedo","Lasioglossum_lucidulum",2,"asensio"
"olmedo","Xylocopa_violacea",1,"asensio"
"olmedo","Dasypoda_hirtipes",2,"asensio"
"vilalba","Andrena_agilissima",1,"asensio"
"auditorio_Delibes","Andrena_variabilis",1,"asensio"
"auditorio_Delibes","Andrena_albopunctata",1,"asensio"
"auditorio_Delibes","Nomada_basalis",1,"asensio"
"auditorio_Delibes","Nomada_melathoracica",1,"asensio"
"auditorio_Delibes","Anthophora_agama",1,"asensio"
"hornillos","Anthophora_crinipes",1,"asensio"
"hornillos","Melitturga_clavicornis",1,"asensio"
