Accession No,Barcode,Order,Family,species,species_old,Preferred_Name,locality,collector,date_origional,date_mod,day,month,month_chr,year,date_chr,date,Determiner,Specimen Type,collection,method
NZAC04096357,NZAC04096357,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)",Dun Mountain,E.S. Gourlay,14.11.1923,11.12.2109,14,11,November,1923,14/November/1923,14/11/1923,B.J. Donovan,Pin,NZAC,no_data
NZAC04096345,NZAC04096345,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)",Dun Mountain,E.S. Gourlay,14.11.1923,11.12.2110,14,11,November,1923,14/November/1923,14/11/1923,B.J. Donovan,Pin,NZAC,no_data
NZAC04096324,NZAC04096324,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)",Dun Mountain,E.S. Gourlay,14.11.1923,11.12.2111,14,11,November,1923,14/November/1923,14/11/1923,B.J. Donovan,Pin,NZAC,no_data
NZAC04096280,NZAC04096280,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)",Dun Mountain,E.S. Gourlay,14.11.1923,11.12.2112,14,11,November,1923,14/November/1923,14/11/1923,B.J. Donovan,Pin,NZAC,no_data
NZAC04096271,NZAC04096271,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)",Dun Mountain,E.S. Gourlay,14.11.1923,11.12.2113,14,11,November,1923,14/November/1923,14/11/1923,B.J. Donovan,Pin,NZAC,no_data
NZAC04096252,NZAC04096252,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)",Dun Mountain,E.S. Gourlay,14.11.1923,11.12.2114,14,11,November,1923,14/November/1923,14/11/1923,B.J. Donovan,Pin,NZAC,no_data
NZAC04096251,NZAC04096251,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)",Dun Mountain,E.S. Gourlay,14.11.1923,11.12.2115,14,11,November,1923,14/November/1923,14/11/1923,B.J. Donovan,Pin,NZAC,no_data
NZAC04096250,NZAC04096250,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)",Dun Mountain,E.S. Gourlay,14.11.1923,11.12.2116,14,11,November,1923,14/November/1923,14/11/1923,B.J. Donovan,Pin,NZAC,no_data
NZAC04096245,NZAC04096245,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)",Dun Mountain,E.S. Gourlay,14.11.1923,11.12.2117,14,11,November,1923,14/November/1923,14/11/1923,B.J. Donovan,Pin,NZAC,no_data
NZAC04096244,NZAC04096244,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)",Dun Mountain,E.S. Gourlay,14.11.1923,11.12.2118,14,11,November,1923,14/November/1923,14/11/1923,B.J. Donovan,Pin,NZAC,no_data
NZAC04096242,NZAC04096242,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)",Dun Mountain,E.S. Gourlay,14.11.1923,11.12.2119,14,11,November,1923,14/November/1923,14/11/1923,B.J. Donovan,Pin,NZAC,no_data
NZAC04096219,NZAC04096219,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)",Dun Mountain,E.S. Gourlay,14.11.1923,11.12.2120,14,11,November,1923,14/November/1923,14/11/1923,B.J. Donovan,Pin,NZAC,no_data
NZAC04096207,NZAC04096207,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)",Dun Mountain,E.S. Gourlay,14.11.1923,11.12.2121,14,11,November,1923,14/November/1923,14/11/1923,B.J. Donovan,Pin,NZAC,no_data
NZAC04096206,NZAC04096206,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)",Dun Mountain,E.S. Gourlay,14.11.1923,11.12.2122,14,11,November,1923,14/November/1923,14/11/1923,B.J. Donovan,Pin,NZAC,no_data
NZAC04096200,NZAC04096200,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)",Dun Mountain,E.S. Gourlay,14.11.1923,11.12.2123,14,11,November,1923,14/November/1923,14/11/1923,B.J. Donovan,Pin,NZAC,no_data
